Gate pass time,Alt license number,Reason
01-01-2018 01:00:46,10057,Parking lot cleaning
01-01-2018 06:52:51,10174,Standard entrance
01-01-2018 07:05:45,10075,Standard entrance
01-01-2018 07:11:27,10073,Standard entrance
01-01-2018 07:14:15,10073,Guard open
01-01-2018 07:14:46,10152,Standard entrance
01-01-2018 07:27:34,10139,Standard entrance
01-01-2018 07:27:56,10048,Standard entrance
01-01-2018 07:29:46,10254,Standard entrance
01-01-2018 07:32:20,10110,Standard entrance
01-01-2018 07:35:54,10036,Standard entrance
01-01-2018 07:49:47,10121,Standard entrance
01-01-2018 07:53:12,10186,Standard entrance
01-01-2018 07:59:54,10056,Standard entrance
01-01-2018 08:05:14,10026,Standard entrance
01-01-2018 08:09:14,10285,Standard entrance
01-01-2018 08:09:59,10163,Standard entrance
01-01-2018 08:27:57,10173,Standard entrance
01-01-2018 08:33:34,10181,Standard entrance
01-01-2018 08:36:02,10094,Standard entrance
01-01-2018 08:49:36,10286,Standard entrance
01-01-2018 08:57:05,10258,Standard entrance
01-01-2018 09:09:28,10178,Standard entrance
01-01-2018 09:10:10,10090,Standard entrance
01-01-2018 09:11:05,10179,Standard entrance
01-01-2018 09:24:27,10171,Standard entrance
01-01-2018 09:30:36,10214,Standard entrance
01-01-2018 09:39:08,10003,Standard entrance
01-01-2018 09:43:50,10265,Standard entrance
01-01-2018 09:48:08,10219,Standard entrance
01-01-2018 09:52:54,10264,Standard entrance
01-01-2018 10:05:02,10201,Standard entrance
01-01-2018 10:05:46,10029,Standard entrance
01-01-2018 10:05:55,10137,Standard entrance
01-01-2018 10:08:49,10193,Standard entrance
01-01-2018 10:13:56,10133,Standard entrance
01-01-2018 10:19:44,10288,Standard entrance
01-01-2018 10:20:49,10238,Standard entrance
01-01-2018 10:34:11,10187,Standard entrance
01-01-2018 10:48:05,10267,Guard open
01-01-2018 10:59:43,10207,Standard entrance
01-01-2018 11:02:39,10058,Standard entrance
01-01-2018 11:06:53,10285,Standard exit
01-01-2018 11:07:44,10174,Standard exit
01-01-2018 11:16:41,10133,Standard exit
01-01-2018 11:19:48,10207,Standard exit
01-01-2018 11:20:33,10245,Standard entrance
01-01-2018 11:22:01,10196,Standard entrance
01-01-2018 11:28:10,10256,Standard entrance
01-01-2018 11:29:12,10066,Standard entrance
01-01-2018 11:29:33,10198,Standard entrance
01-01-2018 11:30:51,10186,Standard exit
01-01-2018 11:31:17,10072,Standard entrance
01-01-2018 11:41:18,10261,Standard entrance
01-01-2018 11:51:36,10021,Unauthorized this day
01-01-2018 11:52:22,10124,Standard entrance
01-01-2018 11:52:49,10124,Standard entrance
01-01-2018 11:54:00,10124,Guard open
01-01-2018 11:54:55,10076,Unauthorized this day
01-01-2018 11:55:49,10076,Guard open
01-01-2018 11:57:42,10124,Standard exit
01-01-2018 12:04:09,10180,Standard entrance
01-01-2018 12:17:11,10085,Standard entrance
01-01-2018 12:19:16,10216,Standard entrance
01-01-2018 12:37:12,10039,Standard entrance
01-01-2018 12:47:34,10199,Standard entrance
01-01-2018 12:56:27,10085,Standard exit
01-01-2018 12:57:37,10100,Standard entrance
01-01-2018 13:07:16,10058,Standard exit
01-01-2018 13:08:18,10138,Standard entrance
01-01-2018 13:18:45,10003,Standard exit
01-01-2018 13:20:27,10265,Standard exit
01-01-2018 13:22:04,10137,Standard exit
01-01-2018 13:30:39,10132,Doesnt exist in DB
01-01-2018 13:30:39,10138,Guard open
01-01-2018 13:30:52,10010,Standard entrance
01-01-2018 13:41:00,10232,Standard entrance
01-01-2018 13:46:31,10254,Standard exit
01-01-2018 13:49:40,10073,Standard exit
01-01-2018 14:03:59,10182,Standard entrance
01-01-2018 14:06:00,10114,Standard entrance
01-01-2018 14:11:13,10078,Standard entrance
01-01-2018 14:12:56,10256,Standard exit
01-01-2018 14:14:11,10029,Standard exit
01-01-2018 14:19:24,10267,Guard open
01-01-2018 14:21:04,10075,Standard exit
01-01-2018 14:24:39,10010,Standard exit
01-01-2018 14:25:09,10015,Standard entrance
01-01-2018 14:27:31,10106,Standard entrance
01-01-2018 14:38:50,10082,Standard entrance
01-01-2018 14:46:34,10282,Standard entrance
01-01-2018 14:49:25,10003,Standard entrance
01-01-2018 14:51:44,10163,Standard exit
01-01-2018 14:55:04,10259,Standard entrance
01-01-2018 15:02:56,10238,Standard exit
01-01-2018 15:17:07,10072,Standard exit
01-01-2018 15:34:25,10187,Standard exit
01-01-2018 15:37:36,10091,Standard entrance
01-01-2018 15:42:50,10288,Standard exit
01-01-2018 15:43:47,10178,Standard exit
01-01-2018 15:45:52,10094,Standard exit
01-01-2018 15:46:57,10184,Standard entrance
01-01-2018 15:50:06,10067,Standard entrance
01-01-2018 15:53:17,10156,Standard entrance
01-01-2018 15:55:33,10078,Standard exit
01-01-2018 15:56:36,10041,Standard entrance
01-01-2018 15:59:24,10274,Standard entrance
01-01-2018 16:00:49,10203,Standard entrance
01-01-2018 16:02:54,10041,Standard exit
01-01-2018 16:03:00,10076,Standard exit
01-01-2018 16:06:26,10181,Standard exit
01-01-2018 16:09:21,10278,Guard open
01-01-2018 16:10:19,10110,Standard exit
01-01-2018 16:11:32,10278,Guard open
01-01-2018 16:11:33,10278,Guard open
01-01-2018 16:24:34,10083,Guard open
01-01-2018 16:24:37,10113,Standard entrance
01-01-2018 16:24:58,10157,Standard entrance
01-01-2018 16:25:28,10083,Guard open
01-01-2018 16:25:29,10083,Guard open
01-01-2018 16:25:30,10083,Guard open
01-01-2018 16:25:51,10173,Standard exit
01-01-2018 16:34:07,10019,Standard entrance
01-01-2018 16:45:02,10225,Standard entrance
01-01-2018 16:45:26,10199,Standard exit
01-01-2018 16:46:22,10002,Standard entrance
01-01-2018 16:51:18,10106,Standard exit
01-01-2018 16:56:07,10127,Standard entrance
01-01-2018 17:01:14,10148,Standard entrance
01-01-2018 17:02:00,10229,Standard entrance
01-01-2018 17:02:05,10048,Standard exit
01-01-2018 17:06:38,10152,Standard exit
01-01-2018 17:10:05,10090,Standard exit
01-01-2018 17:16:00,10039,Standard exit
01-01-2018 17:32:19,10060,Standard entrance
